timestamp,kwh
2024-01-01 00:00,120
2024-01-02 00:00,130
2024-01-03 00:00,125
2024-01-04 00:00,140
2024-01-05 00:00,150
2024-01-06 00:00,160
2024-01-07 00:00,155
2024-01-08 00:00,158
2024-01-09 00:00,162
2024-01-10 00:00,170
2024-01-11 00:00,168
2024-01-12 00:00,172
2024-01-13 00:00,175
2024-01-14 00:00,180
2024-01-15 00:00,185
2024-01-16 00:00,190
2024-01-17 00:00,188
2024-01-18 00:00,192
2024-01-19 00:00,195
2024-01-20 00:00,200
2024-01-21 00:00,198
2024-01-22 00:00,202
2024-01-23 00:00,205
2024-01-24 00:00,210
2024-01-25 00:00,215
2024-01-26 00:00,220
2024-01-27 00:00,218
2024-01-28 00:00,222
2024-01-29 00:00,225
2024-01-30 00:00,230
