timestamp,kwh
2024-01-01 00:00,80
2024-01-02 00:00,82
2024-01-03 00:00,85
2024-01-04 00:00,83
2024-01-05 00:00,90
2024-01-06 00:00,92
2024-01-07 00:00,95
2024-01-08 00:00,97
2024-01-09 00:00,100
2024-01-10 00:00,102
2024-01-11 00:00,98
2024-01-12 00:00,105
2024-01-13 00:00,110
2024-01-14 00:00,115
2024-01-15 00:00,118
2024-01-16 00:00,120
2024-01-17 00:00,122
2024-01-18 00:00,125
2024-01-19 00:00,130
2024-01-20 00:00,135
2024-01-21 00:00,138
2024-01-22 00:00,140
2024-01-23 00:00,142
2024-01-24 00:00,145
2024-01-25 00:00,148
2024-01-26 00:00,150
2024-01-27 00:00,152
2024-01-28 00:00,155
2024-01-29 00:00,158
2024-01-30 00:00,160
